"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2614fad8e20732db6d751f99985ed60080c060c3e8e76b270d7ff5e9e36034c1","14083677","1643232565","2022-01-26 21:29:25","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.15","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa5f775e08d25975cba2127d787d689ca6b81080700eb40502f9b6c4e1a00eff4","14084115","1643238792","2022-01-26 23:13:12","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","14,999,900","$15,021,990.94","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xadf1e300ca0591f0dac6c0a6826659800ecfcd7544e5231eb72f575dab57aa14","14084244","1643240441","2022-01-26 23:40:41","0x559e86798417f06c8fa187a5600659ecc585ed99","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10","$10.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x6e955cb27e11b5ceb6081c178840c5249e7cad9eb83f8760fb6147470fe55109","14084271","1643240804","2022-01-26 23:46:44","0x71660c4005ba85c37ccec55d0c4493e66fe775d3","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10","$10.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x56a558eba45db15a4cc4515be0eb7f829f282e4a42a0dd933847569ade9c7097","14084303","1643241175","2022-01-26 23:52:55","0xe5de8eb49d1918cf44b906d769a4fa57f4ae23b1","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.15","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1a27027f6e487698b3fc7a2549ea06e05554d38bc945bd1017e0cb543afe44af","14084694","1643246482","2022-01-27 01:21:22","0x559e86798417f06c8fa187a5600659ecc585ed99","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","24,999,990","$25,057,716.76","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x915b87a6c95f80776d8f7be7aedcf197e1a0b586ba5ea9fcf57fa1ef28f14eb7","14084811","1643248035","2022-01-27 01:47:15","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,999,999","$2,004,617.14","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x15990c0a10c030165e5115acf0efa659e43005dbe1bbc7cf5cf0d0d4d4c30809","14084836","1643248244","2022-01-27 01:50:44","0xe5de8eb49d1918cf44b906d769a4fa57f4ae23b1","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","33,651,984.577735","$33,888,824.95","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xee60ea558bafbf4f7dd16f167cd94131b7669d98c99c1312fe4dc4fd7ae97bf2","14084890","1643248961","2022-01-27 02:02:41","0xe5de8eb49d1918cf44b906d769a4fa57f4ae23b1","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","8,743,016.413586","$8,763,204.66","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x66827bf535ee693ca266f882e1ac7c4845cf4eff5d72ebb56ef4d8b7a679ccb5","14085870","1643262067","2022-01-27 05:41:07","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","4,999,990","$5,011,535.33","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
